zip,city,median_sale_price,median_ppsf,homes_sold,periods
93551,,611560,271.7,582,4
93552,,496451,276.3,237,4
93553,,452056,267.1,18,4
93554,,170000,117.7,1,1
93555,,277776,179.8,387,4
93560,,435412,261.5,255,4
93561,,436267,256.0,476,4
93562,,76534,64.0,29,4
93591,,397295,288.7,61,4
93601,,541714,237.1,21,4
93602,,370175,237.7,40,4
93603,,333750,195.9,4,3
93604,,715808,472.7,26,4
93605,,254967,193.1,3,3
93606,,277000,284.1,2,2
93608,,147500,151.2,2,1
93609,,335789,224.5,19,4
93610,,372917,234.9,127,4
93611,,482781,273.3,374,4
93612,,389604,276.5,149,4
93613,,459000,244.1,1,1
93614,,392719,224.3,171,4
93615,,236385,258.6,13,4
93616,,636000,313.8,10,4
93618,,391545,251.2,111,4
93619,,541320,289.7,777,4
93620,,346932,250.3,44,4
93621,,297000,238.7,1,1
93622,,325727,269.6,11,4
93625,,495644,241.7,53,4
93626,,612133,241.0,66,4
93630,,430963,259.9,62,4
93631,,520732,285.7,127,4
93633,,331250,350.5,3,3
93635,,466816,269.2,345,4
93636,,513295,261.5,333,4
93637,,414299,238.5,251,4
93638,,392790,270.2,210,4
93640,,366375,289.6,4,3
93641,,233000,289.4,3,3
93642,,376052,347.7,9,2
93643,,434730,262.8,37,4
93644,,457941,249.0,119,4
93645,,478000,276.6,1,1
93646,,328693,269.1,10,3
93647,,423333,236.9,6,3
93648,,362483,252.7,36,4
93650,,307850,254.2,22,4
93651,,672333,271.4,15,3
93652,,345000,189.4,1,1
93653,,490286,244.6,7,3
93654,,407540,241.0,101,4
93656,,328818,259.7,22,4
93657,,433143,255.0,188,4
93660,,314375,254.4,4,3
93662,,372566,254.2,99,4
93664,,676444,364.5,99,4
93667,,432316,237.2,19,4
93668,,319667,204.5,3,3
93669,,488333,394.8,3,3
93675,,346486,191.3,35,4
93701,,259167,208.0,36,4
93702,,289452,251.3,155,4
93703,,318138,250.4,138,4
93704,,394952,256.5,230,4
93705,,333507,250.4,221,4
93706,,313511,258.7,134,4
93710,,417756,246.8,160,4
93711,,525290,258.8,362,4
93720,,510199,273.7,412,4
93721,,338975,174.3,4,2
93722,,407034,246.9,464,4
93723,,498975,249.4,121,4
93725,,374350,250.9,110,4
93726,,353514,252.5,213,4
93727,,437827,257.6,569,4
93728,,329504,257.2,129,4
93730,,653090,303.2,211,4
93737,,509086,263.0,58,4
93901,,790551,505.9,118,4
93905,,678525,488.9,61,4
93906,,698528,508.2,214,4
93907,,852538,500.9,132,4
93908,,1176897,523.4,117,4
93920,,4933333,3210.6,9,4
93921,,2834842,2005.6,19,4
93923,,2743455,1324.6,191,4
93924,,1471800,705.3,75,4
93925,,589667,526.7,3,2
93926,,709100,384.7,10,4
